           rhox         t           p          xne        xnatom        rho
  126   5.947E-03   3.511E+03   7.163E+00   1.086E+09   1.478E+13   3.159E-11
  127   5.971E-03   3.528E+03   5.783E+00   9.124E+08   1.188E+13   2.538E-11
  128   5.990E-03   3.523E+03   4.644E+00   7.488E+08   9.550E+12   2.041E-11
  129   6.005E-03   3.511E+03   3.643E+00   5.983E+08   7.516E+12   1.607E-11
  130   6.018E-03   3.498E+03   3.222E+00   5.319E+08   6.673E+12   1.426E-11
  131   6.031E-03   3.491E+03   3.017E+00   4.993E+08   6.261E+12   1.338E-11
  132   6.047E-03   3.512E+03   3.822E+00   6.250E+08   7.883E+12   1.685E-11
  133   6.067E-03   3.524E+03   4.915E+00   7.881E+08   1.010E+13   2.159E-11
  134   6.096E-03   3.519E+03   6.528E+00   1.008E+09   1.344E+13   2.872E-11
  135   6.140E-03   3.530E+03   9.819E+00   1.449E+09   2.015E+13   4.307E-11
  136   6.201E-03   3.556E+03   1.455E+01   2.074E+09   2.966E+13   6.339E-11
  137   6.283E-03   3.573E+03   1.905E+01   2.647E+09   3.864E+13   8.258E-11
  138   6.387E-03   3.585E+03   2.355E+01   3.199E+09   4.759E+13   1.017E-10
  139   6.614E-03   3.600E+03   3.175E+01   4.166E+09   6.390E+13   1.366E-10
  140   8.260E-03   3.662E+03   6.360E+01   7.892E+09   1.258E+14   2.689E-10
  141   1.053E-02   3.661E+03   7.698E+01   9.199E+09   1.523E+14   3.256E-10
  142   1.252E-02   3.658E+03   9.415E+01   1.076E+10   1.865E+14   3.986E-10
  143   1.592E-02   3.608E+03   6.565E+01   7.576E+09   1.318E+14   2.818E-10
  144   2.191E-02   3.740E+03   6.464E+01   8.651E+09   1.252E+14   2.676E-10
  145   2.471E-02   3.817E+03   4.387E+01   6.528E+09   8.326E+13   1.780E-10
  146   2.480E-02   3.811E+03   4.106E+01   6.136E+09   7.804E+13   1.668E-10
  147   2.506E-02   3.808E+03   3.783E+01   5.692E+09   7.196E+13   1.538E-10
  148   2.756E-02   3.984E+03   6.513E+01   9.966E+09   1.184E+14   2.531E-10
  149   2.772E-02   4.003E+03   7.253E+01   1.106E+10   1.312E+14   2.805E-10
  150   2.825E-02   3.999E+03   7.868E+01   1.191E+10   1.425E+14   3.046E-10
  151   3.145E-02   4.049E+03   1.488E+02   2.163E+10   2.662E+14   5.690E-10
  152   3.184E-02   4.058E+03   1.594E+02   2.310E+10   2.846E+14   6.082E-10
  153   3.248E-02   4.046E+03   1.684E+02   2.415E+10   3.016E+14   6.446E-10
  154   3.324E-02   4.012E+03   1.695E+02   2.391E+10   3.060E+14   6.540E-10
  155   3.452E-02   4.004E+03   1.644E+02   2.318E+10   2.974E+14   6.357E-10
  156   3.539E-02   4.055E+03   1.655E+02   2.387E+10   2.956E+14   6.318E-10
  157   4.363E-02   4.118E+03   2.190E+02   3.147E+10   3.851E+14   8.231E-10
  158   5.007E-02   4.058E+03   1.925E+02   2.736E+10   3.437E+14   7.347E-10
  159   6.173E-02   4.105E+03   1.942E+02   2.809E+10   3.427E+14   7.325E-10
  160   7.199E-02   4.140E+03   2.304E+02   3.321E+10   4.031E+14   8.615E-10
  161   9.221E-02   4.201E+03   2.130E+02   3.149E+10   3.673E+14   7.851E-10
  162   1.218E-01   4.300E+03   4.052E+02   5.845E+10   6.826E+14   1.459E-09
  163   1.373E-01   4.336E+03   2.336E+02   3.553E+10   3.902E+14   8.340E-10
  164   1.447E-01   4.480E+03   1.614E+02   2.745E+10   2.609E+14   5.576E-10
